"country","EPI.change","status","gpd"
"Afghanistan",5,"#82BBD9",499.441
"Angola",5.3,"#82BBD9",2021.31
"Albania",10.2,"#82BBD9",4898.277
"United Arab Emirates",11.3,"#82BBD9",31947.92
"Argentina",5,"#82BBD9",8433.039
"Armenia",4.5,"#82BBD9",4314.732
"Antigua and Barbuda",3.3,"#82BBD9",14158.571
"Australia",5.5,"#EF7B86",51885.466
"Austria",5.4,"#EF7B86",48634.336
"Azerbaijan",4,"#82BBD9",4124.856
"Burundi",-11.1,"#82BBD9",263.674
"Belgium",2.1,"#EF7B86",43813.77
"Benin",2.7,"#82BBD9",1258.92
"Burkina Faso",6.9,"#82BBD9",768.827
"Bangladesh",-0.1,"#82BBD9",1887.974
"Bulgaria",4.2,"#82BBD9",9826.141
"Bahrain",17.3,"#82BBD9",22877.592
"Bahamas",-2.4,"#82BBD9",30026.735
"Bosnia and Herzegovina",10.9,"#82BBD9",5761.705
"Belarus",2.3,"#82BBD9",6133.88
"Belize",-2,"#82BBD9",3733.975
"Bolivia",-0.3,"#82BBD9",3321.917
"Brazil",4.9,"#82BBD9",6450.451
"Barbados",0.9,"#82BBD9",16082.47
"Brunei Darussalam",2,"#82BBD9",23116.712
"Bhutan",-9.6,"#82BBD9",3431.367
"Botswana",-1.1,"#82BBD9",6557.505
"Central African Republic",-3.9,"#82BBD9",480.49
"Canada",3.7,"#EF7B86",42080.05
"Switzerland",8.6,"#EF7B86",81867.462
"Chile",3.7,"#82BBD9",12612.322
"China",8.4,"#82BBD9",10582.103
"Cote d'Ivoire",-8.5,"#82BBD9",2281.417
"Cameroon",1.5,"#82BBD9",1493.117
"Dem. Rep. Congo",-0.4,"#82BBD9",456.892
"Republic of Congo",-1.5,"#82BBD9",2128.233
"Colombia",0.9,"#82BBD9",5207.238
"Comoros",-1.2,"#82BBD9",1336.954
"Cabo Verde",5.9,"#82BBD9",3358.329
"Costa Rica",1,"#82BBD9",11629.012
"Cuba",0.8,"#82BBD9",0
"Cyprus",6.3,"#EF7B86",26240.048
"Czech Republic",4,"#EF7B86",22627.469
"Germany",1.2,"#EF7B86",45466.116
"Djibouti",2.3,"#82BBD9",3074.334
"Dominica",1.1,"#82BBD9",7708.724
"Denmark",7.3,"#EF7B86",58438.845
"Dominican Republic",3,"#82BBD9",7444.796
"Algeria",0.5,"#82BBD9",3331.076
"Ecuador",3.9,"#82BBD9",5315.519
"Egypt",7.7,"#82BBD9",3561.135
"Eritrea",-3.7,"#82BBD9",585.158
"Spain",8.6,"#EF7B86",26831.629
"Estonia",4.3,"#EF7B86",22985.858
"Ethiopia",0.2,"#82BBD9",974.088
"Finland",6,"#EF7B86",48461.475
"Fiji",-2.6,"#82BBD9",4370.888
"France",5.8,"#EF7B86",39257.434
"Micronesia",-4.8,"#82BBD9",3854.743
"Gabon",4.4,"#82BBD9",7185.417
"United Kingdom",9,"#EF7B86",39228.516
